T^(-1/3)	ln (G)	ln (G)	ln (G)	ln (G)	Independent Variable	Linear Fit of Vg=60 V	Independent Variable	Linear Fit of Vg=40 V	Independent Variable	Linear Fit of Vg=20 V	Independent Variable	Linear Fit of Vg=0 V														
K^(-1/3)					K^(-1/3)																					
T^(-1/3)	Vg=60 V	Vg=40 V	Vg=20 V	Vg=0 V	Fit Curve of Vg=60 V	Fit Curve of Vg=60 V	Fit Curve of Vg=40 V	Fit Curve of Vg=40 V	Fit Curve of Vg=20 V	Fit Curve of Vg=20 V	Fit Curve of Vg=0 V	Fit Curve of Vg=0 V														
0.232079441680639	12.1353857914604	13.1711997880977	14.4530202139836	16.6122710262871	0.177109761530435	11.3661673498562	0.177109761530435	12.1046221927927	0.177109761530435	13.1470185123	0.177109761530435	14.8737568404705														
0.223144316694057	11.9911988894514	12.9813312539086	14.2073001132657	16.3159229261076	0.17716478623529	11.3669957064534	0.17716478623529	12.1057679222789	0.17716478623529	13.1483870847805	0.17716478623529	14.8755547313741														
0.215443469003188	11.8609695028266	12.8191400170069	14.0119103865758	15.9216650062002	0.177219810940145	11.3678240630505	0.177219810940145	12.1069136517651	0.177219810940145	13.1497556572609	0.177219810940145	14.8773526222777														
0.208706402242323	11.7363932506609	12.6822523401927	13.8264328992484	15.885633327318	0.177274835645	11.3686524196477	0.177274835645	12.1080593812513	0.177274835645	13.1511242297414	0.177274835645	14.8791505131812														
0.202740066519113	11.6264173752341	12.5363658878799	13.6789064817798	15.62355862357	0.177329860349855	11.3694807762449	0.177329860349855	12.1092051107375	0.177329860349855	13.1524928022219	0.177329860349855	14.8809484040848														
0.197402303374857	11.5305948347337	12.4070551229246	13.5007844932419	15.4050463828079	0.177384885054711	11.370309132842	0.177384885054711	12.1103508402237	0.177384885054711	13.1538613747023	0.177384885054711	14.8827462949884														
0.192585678555418	11.4810635446564	12.3231792100448	13.3945472605409	15.1525917794464	0.177439909759566	11.3711374894392	0.177439909759566	12.1114965697099	0.177439909759566	13.1552299471828	0.177439909759566	14.884544185892														
0.188207205776206	11.4591110603444	12.2313336159689	13.3239177965686	15.064852421482	0.177494934464421	11.3719658460363	0.177494934464421	12.1126422991961	0.177494934464421	13.1565985196633	0.177494934464421	14.8863420767955														
0.184201574932019	11.4156261903471	12.2035624169736	13.5061783680168	15.5663356782568	0.177549959169276	11.3727942026335	0.177549959169276	12.1137880286823	0.177549959169276	13.1579670921437	0.177549959169276	14.8881399676991														
0.180516550597811	11.3774849413511	12.1350496035074	13.1217588329055	14.8327310298355	0.177604983874131	11.3736225592306	0.177604983874131	12.1149337581685	0.177604983874131	13.1593356646242	0.177604983874131	14.8899378586027														
0.177109761530435	11.2791912118265	11.9905910118851	12.9510444003378	14.570544128763	0.177660008578986	11.3744509158278	0.177660008578986	12.1160794876547	0.177660008578986	13.1607042371047	0.177660008578986	14.8917357495063														
